2023-04-17 17:36:33.006 | INFO     | __main__:file_downloader:18 - Downloading mv for 10. Blade of the Ruined King
2023-04-17 17:36:40.715 | SUCCESS  | __main__:file_downloader:21 - Video downloaded!
2023-04-17 17:36:42.489 | INFO     | __main__:file_downloader:18 - Downloading mv for 3. Tear of the Goddess
2023-04-17 17:36:43.650 | ERROR    | __main__:file_downloader:24 - 'streamingData'
2023-04-17 17:36:44.391 | INFO     | __main__:file_downloader:18 - Downloading mv for 4. Infinity Edge
2023-04-17 17:36:56.606 | SUCCESS  | __main__:file_downloader:21 - Video downloaded!
2023-04-17 17:36:58.488 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\CHON - Can_t Wait\video.mp4
2023-04-17 17:36:59.199 | INFO     | __main__:file_downloader:18 - Downloading mv for CHON - Splash (XEntombmentX)
2023-04-17 17:37:01.724 | SUCCESS  | __main__:file_downloader:21 - Video downloaded!
2023-04-17 17:37:03.548 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Don_t Be A Jerk (It_s Christmas) (Beta)\video.mp4
2023-04-17 17:37:04.265 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Ichika - Bloom\video.mp4
2023-04-17 17:37:05.117 | INFO     | __main__:file_downloader:18 - Downloading mv for Pentakill - Dead Man_s Plate
2023-04-17 17:37:09.460 | SUCCESS  | __main__:file_downloader:21 - Video downloaded!
2023-04-17 17:37:11.147 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Pentakill - Ohmwrecker (Supahfast198)\video.mp4
2023-04-17 17:37:11.889 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Pentakill - Rapid Firecannon\video.mp4
2023-04-17 17:37:12.563 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Pentakill - Stormrazor [Miscellany]\video.mp4
2023-04-17 17:37:13.307 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Pentakill - The Bloodthirster\video.mp4
2023-04-17 17:37:14.110 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Pentakill - Thornmail\video.mp4
2023-04-17 17:37:14.918 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Polyphia - ABC (feat. Sophia Black)\video.mp4
2023-04-17 17:37:15.752 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Polyphia - Bad\video.mp4
2023-04-17 17:37:16.641 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Polyphia - Drown (feat. Mateus Asato)\video.mp4
2023-04-17 17:37:17.466 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Polyphia - Ego Death (Feat. Steve Vai)\video.mp4
2023-04-17 17:37:18.287 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Polyphia - Neurotica\video.mp4
2023-04-17 17:37:19.043 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Polyphia - O.D\video.mp4
2023-04-17 17:37:19.846 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Polyphia - Rich Kids (Feat. Yvette Young)\video.mp4
2023-04-17 17:37:20.592 | ERROR    | __main__:file_downloader:26 - File already exists! at C:\Users\Thiago\Documents\Clone Hero\Songs\Polyphia - Saucy\video.mp4
